tensorflow,C++,34023.337327,663,68424,33631,15.011981,feasible
awesome-machine-learning,Python,10576.94829,1143,25426,6277,27.84487,"Not feasible"
scikit-learn,Python,10706.408651333,2571,20894,11209,16.225954,"Not feasible"
hhvm,C++,5805.880525,2798,14712,2696,9.641575,"Not feasible"
incubator-predictionio,Scala,4030.6841373333,1678,10377,1707,8.052412,"Not feasible"
ievms,Shell,3476.1317133333,2217,9912,506,10.39514,feasible
xgboost,C++,4256.4520867667,1302,8546,4216,7.3562603,"Not feasible"
magenta,Python,2743.9952063333,482,7069,1152,10.985619,"Not feasible"
python-machine-learning-book,"Jupyter Notebook",3158.645251,754,7052,2399,24.935753,feasible
packer,Go,2866.6617492,1622,6816,1776,7.9852476,"Not feasible"
ML-From-Scratch,Python,2319.4216025667,207,6271,681,6.2648077,"Not feasible"
MLAlgorithms,Python,2324.571094,330,6081,882,10.713282,"Not feasible"
pattern,Python,2239.1906617333,2312,5637,1073,7.5719852,"Not feasible"
bup,Python,1847.962709,1822,5201,339,3.888127,"Not feasible"
leaf,Rust,1764.4798176667,675,5032,252,9.439453,feasible
Swift-AI,Swift,1799.6901178333,650,4912,473,14.0703535,feasible
vowpal_wabbit,C++,2018.090555,2952,4816,1229,9.271665,"Not feasible"
golearn,Go,1658.031219,1344,4442,516,16.093657,"Not feasible"
have-fun-with-machine-learning,Python,1564.05638,245,4315,359,18.16914,"Not feasible"
php-ml,PHP,1573.68218,569,4191,518,12.04654,feasible
machine,Go,1806.3441733333,1002,4136,1147,136.03252,"Not feasible"
aerosolve,Scala,1537.6826746667,842,4076,525,12.048024,"Not feasible"
ChatterBot,Python,1822.5794013333,1068,4075,1384,8.738204,"Not feasible"
javascript-state-machine,JavaScript,1524.8961583333,2282,4001,552,21.688475,feasible
amazon-dsstne,C++,1491.6940686667,525,3849,620,6.082206,"Not feasible"
