smile,Java,1325.929854,1019,3344,593,40.789562,feasible
h2o-2,Java,946.54774233333,1672,2222,589,28.643227,"Not feasible"
stat-learning,HTML,691.40655766667,1450,978,1058,38.219673,"Not feasible"
datumbox-framework,Java,393.437345,1052,899,265,16.312035,"Not feasible"
ISLR-python,"Jupyter Notebook",416.49182,813,744,484,21.47546,"Not feasible"
Mallet,Java,241.84025066667,1251,485,226,14.520752,"Not feasible"
JSAT,Java,147.96973666667,896,312,110,21.90921,"Not feasible"
Elements-of-Statistical-Learning,R,93.0929,1982,173,79,27.2787,"Not feasible"
tick,Python,33.078406333333,277,77,11,11.235219,feasible
ProbCog,Java,32.565657666667,1780,59,23,15.696973,"Not feasible"
ISLR-with-Python,"Jupyter Notebook",22.077082333333,327,38,12,16.231247,"Not feasible"
tf_rl_tutorial,"Jupyter Notebook",17.754897666667,553,32,7,14.264693,"Not feasible"
Fraud_Detector,CSS,15.863499,1159,27,11,9.590497,feasible
lua-mapreduce,Lua,10.308242466667,1244,24,2,4.9247274,feasible
IntroStatLearn,"Jupyter Notebook",11.800026333333,478,21,6,8.400079,"Not feasible"
sldm4-h2o,HTML,9.9988045666667,320,20,2,7.9964137,"Not feasible"
ISLR_notes,HTML,8.5913366666667,165,17,2,6.77401,"Not feasible"
Faun,Haskell,7.7860252,811,17,0,6.3580756,feasible
comp90051-2017,"Jupyter Notebook",11.684412333333,119,16,8,11.053237,"Not feasible"
ISL,R,11.908275666667,1374,15,11,9.724827,"Not feasible"
AlgorithmicTrading,Python,8.4060186666667,561,15,6,4.218056,"Not feasible"
ESL-Model,Python,9.5016673333333,536,14,6,8.505002,"Not feasible"
Statistical_Learning_With_Python,Python,14.496801333333,957,13,14,16.490404,"Not feasible"
